service,caller,callee
S_78126003,MS_65590,MS_57945
S_78126003,MS_65590,MS_15171
S_78126003,MS_65590,MS_46825
S_78126003,MS_50097,MS_20059
S_78126003,MS_50097,MS_41516
S_78126003,MS_50097,MS_46825
S_78126003,MS_50097,MS_28340
S_78126003,MS_50097,MS_60125
S_78126003,MS_50097,MS_31140
S_78126003,MS_50097,MS_56526
S_78126003,MS_50097,MS_2827
S_78126003,MS_55970,MS_42255
S_78126003,MS_55970,MS_29400
S_78126003,MS_55970,MS_57346
S_78126003,MS_55970,MS_42253
S_78126003,MS_55970,MS_55970
S_78126003,MS_55970,MS_45285
S_78126003,MS_55970,MS_46708
S_78126003,MS_55970,MS_60938
S_78126003,MS_55970,MS_42034
S_78126003,MS_55970,MS_35973
S_78126003,MS_23299,MS_21494
S_78126003,MS_23299,MS_67699
S_78126003,MS_23299,MS_27421
S_78126003,MS_47407,MS_8234
S_78126003,MS_47407,MS_24480
S_78126003,MS_22836,MS_46825
S_78126003,MS_22836,MS_7315
S_78126003,MS_1401,MS_21528
S_78126003,MS_1401,MS_58845
S_78126003,MS_1401,MS_35973
S_78126003,MS_1401,MS_27421
S_78126003,MS_1401,MS_2329
S_78126003,MS_69321,MS_11641
S_78126003,MS_8259,MS_8234
S_78126003,MS_8259,MS_16487
S_78126003,MS_5182,MS_5182
S_78126003,MS_5182,MS_2827
S_78126003,MS_5182,MS_46429
S_78126003,MS_5182,MS_19017
S_78126003,MS_5182,MS_28737
S_78126003,MS_5182,MS_6937
S_78126003,MS_5182,MS_60125
S_78126003,MS_5182,MS_67467
S_78126003,MS_5182,MS_62793
S_78126003,MS_5182,MS_5449
S_78126003,MS_5182,MS_27421
S_78126003,MS_5182,MS_8234
S_78126003,MS_5182,MS_37691
S_78126003,MS_22314,MS_23731
S_78126003,MS_22314,MS_4354
S_78126003,MS_22314,MS_58212
S_78126003,MS_22314,MS_22314
S_78126003,MS_22314,MS_33293
S_78126003,MS_22314,MS_2827
S_78126003,MS_22314,MS_67595
S_78126003,MS_22314,MS_44136
S_78126003,MS_22314,MS_3684
S_78126003,MS_22314,MS_1278
S_78126003,MS_22314,MS_5449
S_78126003,MS_22314,MS_56376
S_78126003,MS_22314,MS_34814
S_78126003,MS_22314,MS_45285
S_78126003,MS_22314,MS_71181
S_78126003,MS_22314,MS_19854
S_78126003,MS_22314,MS_8234
S_78126003,MS_22314,MS_13744
S_78126003,MS_22314,MS_30371
S_78126003,MS_22314,MS_55290
S_78126003,MS_12984,MS_35973
S_78126003,MS_12984,MS_12984
S_78126003,MS_12984,MS_2827
S_78126003,MS_12984,MS_4354
S_78126003,MS_12984,MS_28911
S_78126003,MS_12984,MS_8372
S_78126003,MS_12984,MS_27421
S_78126003,MS_12984,MS_31667
S_78126003,MS_12984,MS_2835
S_78126003,MS_60646,MS_28617
S_78126003,MS_60646,MS_28467
S_78126003,MS_60646,MS_37691
S_78126003,MS_60646,MS_27421
S_78126003,MS_60646,MS_70220
S_78126003,MS_60646,MS_2827
S_78126003,MS_60646,MS_60646
S_78126003,MS_61512,MS_61512
S_78126003,MS_61512,MS_2827
S_78126003,MS_61512,MS_58845
S_78126003,MS_61512,MS_27421
S_78126003,MS_61512,MS_37691
S_78126003,MS_61512,MS_13636
S_78126003,MS_61512,MS_27283
S_78126003,MS_61512,MS_4107
S_78126003,MS_61512,MS_70297
S_78126003,MS_61512,MS_14304
S_78126003,MS_61512,MS_29635
S_78126003,MS_61512,MS_11641
S_78126003,MS_61512,MS_62598
S_78126003,MS_61512,MS_8234
S_78126003,MS_61512,MS_14728
S_78126003,MS_61512,MS_57945
S_78126003,MS_73010,MS_15171
S_78126003,MS_73010,MS_30186
S_78126003,MS_73010,MS_14728
S_78126003,MS_73010,MS_14304
S_78126003,MS_73010,MS_42255
S_78126003,MS_73010,MS_27421
S_78126003,MS_73010,MS_56232
S_78126003,MS_29730,MS_29730
S_78126003,MS_29730,MS_2827
S_78126003,MS_29730,MS_36144
S_78126003,MS_29730,MS_8321
S_78126003,MS_29730,MS_12316
S_78126003,MS_29730,MS_46825
S_78126003,MS_29730,MS_46708
S_78126003,MS_29730,MS_41516
S_78126003,MS_29730,MS_14728
S_78126003,MS_29730,MS_35973
S_78126003,MS_29730,MS_55332
S_78126003,MS_29730,MS_27421
S_78126003,MS_29730,MS_42253
S_78126003,MS_29730,MS_70664
S_78126003,MS_29730,MS_26670
S_78126003,MS_29730,MS_1278
S_78126003,MS_29730,MS_58845
S_78126003,MS_29730,MS_18369
S_78126003,MS_29730,MS_5867
S_78126003,MS_29730,MS_59536
S_78126003,MS_29730,MS_7766
S_78126003,MS_29799,MS_3684
S_78126003,MS_29799,MS_45285
S_78126003,MS_28418,MS_9547
S_78126003,MS_28418,MS_45285
S_78126003,MS_28418,MS_32485
S_78126003,MS_51785,MS_6045
S_78126003,MS_15193,MS_20539
S_78126003,MS_15193,MS_46825
S_78126003,MS_15193,MS_31895
S_78126003,MS_68419,MS_2835
S_78126003,MS_20234,MS_59696
S_78126003,MS_20234,MS_39382
S_78126003,MS_20234,MS_29924
S_78126003,MS_20234,MS_37691
S_78126003,MS_20234,MS_53454
S_78126003,MS_2329,MS_59594
S_78126003,MS_2329,MS_1401
S_78126003,MS_2329,MS_27421
S_78126003,MS_2329,MS_35973
S_78126003,MS_2329,MS_2329
S_78126003,MS_2329,MS_2827
S_78126003,MS_2329,MS_28911
S_78126003,MS_2329,MS_37691
S_78126003,MS_2329,MS_1278
S_78126003,MS_2329,MS_46708
S_78126003,MS_2329,MS_12316
S_78126003,MS_2329,MS_31667
S_78126003,MS_2329,MS_58940
S_78126003,MS_2329,MS_73208
S_78126003,MS_2329,MS_46825
S_78126003,MS_2329,MS_61418
S_78126003,MS_2329,MS_58845
S_78126003,MS_2329,MS_27239
S_78126003,MS_2329,MS_22845
S_78126003,MS_2329,MS_61034
S_78126003,MS_2329,MS_40770
S_78126003,MS_2329,MS_29635
S_78126003,MS_2329,MS_69336
S_78126003,MS_2329,MS_47325
S_78126003,MS_2329,MS_20116
S_78126003,MS_2329,MS_10916
S_78126003,MS_2329,MS_55085
S_78126003,MS_2329,MS_37830
S_78126003,MS_41634,MS_11363
S_78126003,MS_41634,MS_6833
S_78126003,MS_41634,MS_10783
S_78126003,MS_41634,MS_48141
S_78126003,MS_15413,MS_20000
